0.26 0.41 0.64 0.98 
0.07 0.90 0.28 0.76 
0.87 0.46 0.63 0.48 
0.31 0.87 0.97 0.92 
0.13 0.72 0.70 0.34 
0.72 0.54 0.16 0.96 
0.95 0.44 0.03 0.27 
0.63 0.87 0.22 0.91 
0.33 0.19 0.14 0.71 
0.90 0.39 0.63 0.83 
0.04 0.15 0.67 0.97 
0.18 0.09 0.72 0.88 
0.08 0.50 0.36 0.16 
0.35 0.03 0.37 0.89 
0.55 0.44 0.42 0.64 
0.40 0.43 0.96 0.56 
0.82 0.44 0.14 0.58 
0.24 0.45 0.98 0.55 
0.24 0.87 0.74 0.84 
0.97 0.92 0.45 0.01 
0.21 0.13 0.10 0.46 
0.59 0.94 0.79 0.82 
0.11 0.41 0.30 0.03 
0.09 0.43 0.12 0.82 
0.82 0.33 0.92 0.23 
0.17 0.03 0.86 0.43 
0.67 0.50 0.34 0.59 
0.06 0.88 0.13 0.18 
0.12 0.86 0.22 0.89 
0.79 0.44 0.59 0.81 
0.74 1.00 0.90 0.67 
0.01 0.41 0.66 0.38 
0.96 0.97 0.31 0.28 
0.69 0.46 0.13 0.61 
0.00 0.10 0.37 0.97 
0.95 0.90 0.99 0.55 
0.90 0.12 0.82 0.15 
0.08 0.24 0.97 0.66 
0.44 0.15 0.62 0.19 
0.43 0.22 0.34 0.86 
0.53 0.68 0.88 0.84 
0.51 0.89 0.97 0.28 
0.02 0.67 0.16 0.32 
0.85 0.96 0.31 0.30 
0.50 0.03 0.32 0.71 
0.66 0.58 0.33 0.09 
0.90 0.33 0.27 0.55 
0.74 0.53 0.00 0.79 
0.93 0.44 0.98 0.39 
0.06 0.11 0.65 0.70 
0.62 0.35 0.63 0.53 
0.03 0.40 0.37 0.84 
0.99 0.29 0.52 0.66 
0.13 0.54 0.44 0.19 
0.52 0.25 0.94 0.96 
0.52 0.08 0.17 0.92 
0.34 0.86 0.81 0.25 
0.40 0.02 0.11 0.00 
0.57 0.29 0.25 0.89 
0.60 0.06 0.18 0.79 
0.94 0.58 0.26 0.75 
0.15 0.92 0.96 0.37 
0.52 0.73 0.82 0.38 
0.71 0.12 0.49 0.24 
0.85 0.85 0.49 0.04 
0.90 0.48 0.66 0.13 
0.71 0.92 0.00 0.15 
0.40 0.71 0.72 0.52 
0.58 0.53 0.42 0.56 
0.47 0.15 0.83 0.20 
0.48 0.04 0.52 0.13 
0.18 0.09 0.06 0.46 
0.96 0.66 0.41 0.01 
0.18 0.60 0.81 0.84 
0.26 0.55 0.08 0.81 
0.11 0.88 0.73 0.42 
0.77 0.86 0.56 0.21 
0.89 0.04 0.23 0.54 
0.40 0.78 0.16 0.01 
0.41 0.39 0.53 0.28 
0.35 0.74 0.77 0.24 
0.88 0.14 0.59 0.56 
0.37 0.92 0.01 0.09 
0.05 0.88 0.40 0.71 
0.07 0.80 0.98 0.87 
0.68 0.97 0.31 0.51 
0.81 0.43 0.59 0.12 
0.27 0.05 0.57 0.88 
0.23 0.56 0.75 0.41 
0.22 0.38 0.47 0.26 
0.13 0.98 0.73 0.73 
0.80 0.21 1.00 0.87 
0.86 0.01 0.69 0.48 
0.57 0.43 0.76 0.26 
0.49 0.74 0.64 0.60 
0.28 0.53 0.56 0.38 
0.40 0.73 0.34 0.57 
0.60 0.29 0.32 0.51 
0.97 0.01 0.91 0.02 
0.31 0.45 0.51 0.50 
